date,actual,fitted_or_train_series
2017-07-01,29.0,15.419360398432087
2017-08-01,5.0,23.116012856746163
2017-09-01,8.0,6.1078183638224255
2017-10-01,0.0,0.19730452451799674
2017-11-01,34.0,22.907865906085576
2017-12-01,486.0,555.7793447087
2018-01-01,491.0,1076.557946976669
2018-02-01,381.0,576.1423299055983
2018-03-01,274.0,216.74642220685277
2018-04-01,85.0,47.28488431025098
2018-05-01,0.0,0.3936989719460089
2018-06-01,18.0,6.0561422535122995
2018-07-01,12.0,18.745228660468367
2018-08-01,54.0,28.240844690723648
2018-09-01,0.0,0.6522955337437557
2018-10-01,0.0,0.42840471791538454
2018-11-01,21.0,28.72290931504513
2018-12-01,633.0,707.1417243860559
2019-01-01,761.0,1029.9722834065938
2019-02-01,373.0,570.2163900692806
2019-03-01,289.0,206.22950955735445
2019-04-01,25.0,45.227974229039546
2019-05-01,0.0,0.7224852605877441
2019-06-01,8.0,6.282267099623273
2019-07-01,21.0,14.657330260051365
2019-08-01,65.0,21.855524236597844
2019-09-01,5.0,5.884757129314186
2019-10-01,8.0,4.888871476974495
2019-11-01,29.0,21.551405320199336
2019-12-01,730.0,523.4810049400063
2020-01-01,858.0,1021.3419596489194
2020-02-01,525.0,690.8602958307478
2020-03-01,196.0,194.4254228352092
2020-04-01,0.0,9.11426362529017
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.2836741412087036
2020-08-01,30.0,19.82458502363119
2020-09-01,12.0,5.76616574087397
2020-10-01,0.0,0.42652046698456064
2020-11-01,48.0,25.222950576536906
2020-12-01,723.0,603.7782495720727
2021-01-01,1095.0,1168.489065531063
2021-02-01,796.0,613.8550706163343
2021-03-01,378.0,220.16739856017895
2021-04-01,65.0,47.54508925088456
2021-05-01,3.0,5.931123447157859
2021-06-01,0.0,0.7210509851749942
2021-07-01,12.0,14.654785619003919
2021-08-01,16.0,21.746910134991335
2021-09-01,0.0,0.6087453307051289
2021-10-01,0.0,0.3848993030403632
2021-11-01,16.0,18.38676191620794
2021-12-01,659.0,465.04974258301354
2022-01-01,936.0,820.1525166197089
2022-02-01,569.0,415.3957329519971
2022-03-01,240.0,136.43222532457472
2022-04-01,40.0,32.47592084419303
2022-05-01,0.0,0.24208276145938712
2022-06-01,1.0,3.0723629113009965
2022-07-01,6.0,8.24956953022972
2022-08-01,13.0,14.137528810976931
2022-09-01,6.0,3.6073925293331026
2022-10-01,4.0,2.935105064687369
2022-11-01,19.0,14.440740501954355
2022-12-01,625.0,398.82044522078115
2023-01-01,1078.0,994.1554078241755
2023-02-01,432.0,531.4600098062937
2023-03-01,230.0,199.44564627706166
2023-04-01,77.0,44.902121055421674
2023-05-01,2.0,5.6576579949084715
2023-06-01,0.0,0.31156583451317243
2023-07-01,24.0,15.4230016149864
2023-08-01,32.0,18.07779469335454
2023-09-01,0.0,0.07046277500266332
2023-10-01,0.0,0.0
2023-11-01,17.0,17.92030846742063
2023-12-01,505.0,453.06401849955284
2024-01-01,752.0,742.0384600009218
2024-02-01,453.0,448.7776232224118
2024-03-01,209.0,131.57388642555753
2024-04-01,44.0,28.443882148024237
2024-05-01,0.0,0.059222696922099666
2024-06-01,6.0,3.2041815254455175
2024-07-01,7.0,7.940711298547157
2024-08-01,6.0,12.561265251359115
2024-09-01,0.0,0.0
2024-10-01,0.0,0.0
2024-11-01,15.0,12.546916229332787
2024-12-01,465.0,316.4687317614803
2025-01-01,675.0,578.0983774176683
2025-02-01,378.0,287.546254880186
2025-03-01,182.0,102.43668196286285
2025-04-01,12.0,21.895210119170493
2025-05-01,2.0,2.3164825060764063
2025-06-01,0.0,0.0
2025-07-01,0.0,0.8375067190710908
2025-08-01,2.0,9.812457610076613
2025-09-01,0.0,0.0
2025-10-01,0.0,0.0
2025-11-01,0.0,8.673171319595761
2025-12-01,246.0,230.34728972944734
2026-01-01,737.0,461.54681537936654
2026-02-01,281.0,237.6509602936855
