month,year,combined_course,enrolled,student_price,course
11,2021,avalanche rescue,15,213.0,Avalanche Rescue
12,2021,aiare 1,2248,531.6245173745174,AIARE 1
12,2021,aiare 2,66,578.3333333333334,AIARE 2
12,2021,avalanche rescue,649,203.98104,Avalanche Rescue
1,2022,aiare 1,3900,517.1099251870323,AIARE 1
1,2022,aiare 2,313,597.5307547169812,AIARE 2
1,2022,avalanche rescue,923,201.8638961038961,Avalanche Rescue
2,2022,aiare 1,2812,526.325868852459,AIARE 1
2,2022,aiare 2,343,546.6929824561404,AIARE 2
2,2022,avalanche rescue,556,207.00840336134453,Avalanche Rescue
3,2022,aiare 1,1728,532.027149321267,AIARE 1
3,2022,aiare 2,153,544.3566666666667,AIARE 2
3,2022,avalanche rescue,235,210.6875,Avalanche Rescue
4,2022,aiare 1,285,567.9130434782609,AIARE 1
4,2022,aiare 2,28,635.5,AIARE 2
4,2022,avalanche rescue,38,233.65,Avalanche Rescue
6,2022,avalanche rescue,1,195.0,Avalanche Rescue
7,2022,aiare 1,6,290.0,AIARE 1 + Avalanche Rescue
7,2022,avalanche rescue,6,95000.0,Avalanche Rescue
8,2022,aiare 1,18,147675.0,AIARE 1
8,2022,aiare 2,12,147675.0,AIARE 2
8,2022,avalanche rescue,13,95000.0,Avalanche Rescue
9,2022,avalanche rescue,6,95000.0,Avalanche Rescue
10,2022,aiare 2,0,595.0,AIARE 2
10,2022,avalanche rescue,4,95000.0,Avalanche Rescue
11,2022,aiare 1,147,651.7647058823529,AIARE 1
11,2022,aiare 2,10,767.5,AIARE 2
11,2022,avalanche rescue,19,219.83333333333334,Avalanche Rescue
12,2022,aiare 1,2285,609.1768060836501,AIARE 1
12,2022,aiare 2,85,681.0555555555555,AIARE 2
12,2022,avalanche rescue,606,236.52032520325204,Avalanche Rescue
1,2023,aiare 1,3769,580.7434663341646,AIARE 1 + Avalanche Rescue
1,2023,aiare 2,225,592.6818181818181,AIARE 2
1,2023,avalanche rescue,1037,217.2712765957447,Avalanche Rescue
2,2023,aiare 1,2408,587.1269841269841,AIARE 1 + Avalanche Rescue
2,2023,aiare 2,305,637.8039215686274,AIARE 2
2,2023,avalanche rescue,417,232.24130000000002,Avalanche Rescue
3,2023,aiare 1,1383,601.6869339622642,AIARE 1 + Avalanche Rescue
3,2023,aiare 2,164,656.675,AIARE 2
3,2023,avalanche rescue,221,227.83870967741936,Avalanche Rescue
4,2023,aiare 1,375,627.6949152542373,AIARE 1
4,2023,aiare 2,29,694.5,AIARE 2
4,2023,avalanche rescue,72,207.34782608695653,Avalanche Rescue
5,2023,aiare 1,18,610.0,AIARE 1
5,2023,avalanche rescue,2,280.0,Avalanche Rescue
7,2023,avalanche rescue,24,110000.0,Avalanche Rescue
8,2023,aiare 1,0,500000.0,AIARE 1 + Avalanche Rescue
8,2023,avalanche rescue,32,110000.0,Avalanche Rescue
9,2023,aiare 1,5,310000.0,AIARE 1
11,2023,aiare 1,84,654.8888888888889,AIARE 1
11,2023,avalanche rescue,16,262.0,Avalanche Rescue
12,2023,aiare 1,1645,617.1939655172414,AIARE 1
12,2023,aiare 2,57,698.8,AIARE 2
12,2023,avalanche rescue,487,230.0326851851852,Avalanche Rescue
1,2024,aiare 1,3016,602.0459116022099,AIARE 1
1,2024,aiare 2,218,719.88,AIARE 2
1,2024,avalanche rescue,733,236.93925675675678,Avalanche Rescue
2,2024,aiare 1,2061,607.2253521126761,AIARE 1
2,2024,aiare 2,252,713.4081632653061,AIARE 2
2,2024,avalanche rescue,442,238.89078260869564,Avalanche Rescue
3,2024,aiare 1,1203,596.9481603773585,AIARE 1
3,2024,aiare 2,143,669.2944117647058,AIARE 2
3,2024,avalanche rescue,199,237.52323076923076,Avalanche Rescue
4,2024,aiare 1,229,663.1222448979593,AIARE 1 + Avalanche Rescue
4,2024,aiare 2,34,553.7,AIARE 2
4,2024,avalanche rescue,43,224.0,Avalanche Rescue
6,2024,avalanche rescue,6,110000.0,Avalanche Rescue
7,2024,aiare 1,6,350000.0,AIARE 1
7,2024,avalanche rescue,7,130000.0,Avalanche Rescue
8,2024,aiare 1,13,425000.0,AIARE 1
8,2024,avalanche rescue,6,110000.0,Avalanche Rescue
11,2024,aiare 1,39,712.9333333333333,AIARE 1
11,2024,avalanche rescue,14,287.85714285714283,Avalanche Rescue
12,2024,aiare 1,1392,624.974358974359,AIARE 1
12,2024,aiare 2,62,741.45,AIARE 2
12,2024,avalanche rescue,453,244.1015625,Avalanche Rescue
1,2025,aiare 1,2980,656.446865284974,AIARE 1 + Avalanche Rescue
1,2025,aiare 2,257,749.9375,AIARE 2
1,2025,avalanche rescue,662,235.29144385026737,Avalanche Rescue
2,2025,aiare 1,1860,635.5816887417219,AIARE 1 + Avalanche Rescue
2,2025,aiare 2,190,735.7352941176471,AIARE 2
2,2025,avalanche rescue,370,243.99285714285713,Avalanche Rescue
3,2025,aiare 1,993,627.1193532338309,AIARE 1
3,2025,aiare 2,132,717.9305555555555,AIARE 2
3,2025,avalanche rescue,182,262.43888888888887,Avalanche Rescue
4,2025,aiare 1,147,647.8152173913044,AIARE 1
4,2025,aiare 2,29,994.4,AIARE 2 + Avalanche Rescue
4,2025,avalanche rescue,12,260.3,Avalanche Rescue
5,2025,aiare 1,11,600.0,AIARE 1
5,2025,avalanche rescue,2,0.0,Avalanche Rescue
8,2025,aiare 1,22,422.25,AIARE 1
8,2025,aiare 2,3,0.0,AIARE 2
8,2025,avalanche rescue,2,0.0,Avalanche Rescue
10,2025,aiare 1,0,695.0,AIARE 1
11,2025,aiare 1,0,684.6666666666666,AIARE 1
11,2025,avalanche rescue,0,237.6,Avalanche Rescue
12,2025,aiare 1,778,655.0111814345992,AIARE 1
12,2025,aiare 2,22,867.6315789473684,AIARE 2
12,2025,avalanche rescue,244,258.7284482758621,Avalanche Rescue
1,2026,aiare 1,2764,641.8437825059101,AIARE 1
1,2026,aiare 2,159,701.5686274509804,AIARE 2
1,2026,avalanche rescue,724,252.53166666666667,Avalanche Rescue
2,2026,aiare 1,1380,640.7428758169934,AIARE 1
2,2026,aiare 2,165,739.0267857142857,AIARE 2
2,2026,avalanche rescue,289,262.7967479674797,Avalanche Rescue
3,2026,aiare 1,526,643.5022277227723,AIARE 1
3,2026,aiare 2,60,868.3061290322581,AIARE 2
3,2026,avalanche rescue,125,262.25625,Avalanche Rescue
4,2026,aiare 1,0,684.0,AIARE 1 + Avalanche Rescue
4,2026,aiare 2,0,1225.0,AIARE 2
4,2026,avalanche rescue,0,272.625,Avalanche Rescue
5,2026,aiare 1,0,600.0,AIARE 1
