Course Type Name,Start Date,Enrolled,Student Price,Location,year,month,course,combined_course
Avalanche Rescue,2026-03-05,4,300.0,"Cottonwood Pass/ Tincup Pass, Colorado, United States",2026,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2024-02-17,4,435.0,"Fremont Pass, Colorado, United States",2024,2,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-05-17,2,280.0,"Mt. Baker, Washington, United States",2023,5,Avalanche Rescue,avalanche rescue
AIARE 1,2023-05-09,5,595.0,"Olympic Valley, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-05-06,5,675.0,"Castle Peak, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-05-06,8,575.0,"Mammoth Lakes, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-05-02,0,595.0,"Olympic Valley, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-04-29,12,525.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-29,10,685.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-28,12,400.0,"Berthoud Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-27,0,250.0,"Fremont Pass, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 2,2023-04-26,2,400.0,"Mt Rainier National Park, Washington, United States",2023,4,AIARE 2,aiare 2
Avalanche Rescue,2023-04-23,1,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-22,10,685.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-22,13,585.0,"Bishop/Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-22,3,550.0,"Snoqualmie Pass, Washington, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-22,7,500.0,"Rabbit Ears Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-21,15,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-21,3,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-21,6,729.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 2,2023-04-21,5,999.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,4,AIARE 2,aiare 2
Avalanche Rescue,2023-04-20,0,250.0,"Fremont Pass, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-20,1,900.0,"Wheeler Peak Wilderness, New Mexico, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-17,11,595.0,"Yosemite, California, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-16,5,279.0,"Rocky Mountain National Park, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-15,17,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-15,13,525.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-15,14,595.0,"Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-15,12,729.0,"Frisco, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,15,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,0,595.0,"Summit County, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,8,490.0,"Kirkwood Mountain Resort, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,2,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-13,1,235.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-13,2,880.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-13,0,250.0,"Fremont Pass, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-12,0,600.0,"Lake City, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-12,0,595.0,"Monarch Pass/Hoosier Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-12,5,595.0,"Hoosier Pass/Monarch Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-11,6,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-10,0,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-09,7,279.0,"Rocky Mountain National Park, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-09,0,225.0,"Bishop/Mammoth Lakes, California, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-09,6,15.0,"Heavenly Ski Resort, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-09,8,595.0,"Estes Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,0,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,11,545.0,"Bishop/Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,6,550.0,"Mt Washington, New Hampshire, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,6,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,0,600.0,"Crested Butte, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,6,595.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-08,6,200.0,"Prival Big Cottonwood Canyon, Utah, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-07,6,675.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-07,8,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-07,0,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-07,9,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 2,2023-04-07,17,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 2,aiare 2
AIARE 1,2023-04-07,0,525.0,"Mammoth Lakes, California, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-07,4,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-07,9,595.0,"Summit County, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-07,0,185.0,"Crested Butte, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-07,0,725.0,"Crested Butte, Colorado, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-07,5,1.0,"Loveland Ski Area, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-07,4,440.0,"Summit County, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-06,2,235.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-06,1,880.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-05,5,1.0,"Loveland Ski Area, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-05,5,1.0,"Eldora Mountain Resort, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-04,0,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-04,4,550.0,"Mt Washington, New Hampshire, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-04,4,585.0,"Bishop/Mammoth lakes area, California, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-03,6,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-03,1,629.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-03,6,205.0,"Snoqualmie Pass, Washington, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-03,4,15.0,"Heavenly Ski Resort, California, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-02,5,279.0,"Rocky Mountain National Park, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-02,0,600.0,"Summit County, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-02,5,205.0,"Snoqualmie Pass, Washington, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-02,10,725.0,"Tam Rim Alpine Huts, Oregon, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-01,11,675.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-01,4,295.0,"Olympic Valley, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-01,6,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-01,0,525.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-01,3,1149.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-01,16,595.0,"Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-01,0,525.0,"Snowbird Resort, Utah, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-01,12,545.0,"Bishop/Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-01,18,550.0,"Mt Washington, New Hampshire, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-01,4,185.0,"Summit County, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-01,0,725.0,"Summit County, Colorado, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-01,5,695.0,"Truckee Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-01,5,440.0,"Summit County, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 2,2023-04-01,5,650.0,"Buffalo Pass, Colorado, United States",2023,4,AIARE 2,aiare 2
AIARE 1 + Avalanche Rescue,2023-03-31,0,795.0,"Donner Summit, California, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-03-31,0,295.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-31,6,729.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-31,0,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-31,6,595.0,"Summit County, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-31,6,595.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-31,10,600.0,"Mountain Skillz, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-31,3,225.0,"Three Sisters, Oregon, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-30,0,235.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-03-30,0,880.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-03-29,4,615.0,"Aspen, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-03-28,0,795.0,"Donner Summit, California, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-03-28,7,550.0,"Mt Washington, New Hampshire, United States",2023,3,AIARE 1,aiare 1
AIARE 2,2023-03-28,2,325.0,"Bridger Bowl and Beehive Basin, MT, Montana, United States",2023,3,AIARE 2,aiare 2
AIARE 1,2023-03-28,6,729.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-27,0,295.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-27,1,225.0,"Vail Pass, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-27,5,540.0,"Mt. Baker NRA SnoPark, Washington, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-26,5,279.0,"Rocky Mountain National Park, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-26,4,200.0,"Summit County, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-25,9,675.0,"Olympic Valley, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,10,595.0,"Donner Summit, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,0,525.0,"Donner Summit, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,8,550.0,"Mount Baker National Forest, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,12,585.0,"Bishop/Mammoth Lakes, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,4,595.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,23,595.0,"Bluebird Backcountry, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,12,550.0,"Mount Hood, Oregon, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,1,1.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-25,3,800.0,"Wasatch/Uintas, Utah, United States",2023,3,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-03-24,0,795.0,"Donner Summit, California, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-03-24,0,295.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-24,16,729.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,12,999.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,17,525.0,"Mammoth Lakes, California, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,0,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,11,595.0,"Summit County, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,11,550.0,"Mt Washington, New Hampshire, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,11,379.0,"Stevens Pass Ski area, Mountain Education Yurt, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,11,490.0,"Kirkwood Mountain Resort, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,0,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-24,9,899.0,"Summit County, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-23,0,279.0,"Rocky Mountain National Park, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-23,0,235.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 2,2023-03-23,7,850.0,"Aspen, Colorado, United States",2023,3,AIARE 2,aiare 2
AIARE 1 + Avalanche Rescue,2023-03-23,0,880.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 2 + Avalanche Rescue,2023-03-23,16,375.0,"Bridger Bowl and Beehive Basin MT, Montana, United States",2023,3,AIARE 2 + Avalanche Rescue,aiare 2
Avalanche Rescue,2023-03-22,6,195.0,"Silverton, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-22,0,195.0,"Silverton, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-03-21,3,795.0,"Donner Summit, California, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 2,2023-03-21,0,595.0,"Donner Summit, California, United States",2023,3,AIARE 2,aiare 2
AIARE 1,2023-03-21,0,550.0,"Crested Butte, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-21,18,525.0,"Snowbird Resort, Utah, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-21,0,615.0,"Aspen, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-21,16,550.0,"Snoqualmie Pass, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-21,5,550.0,"Mt Washington, New Hampshire, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-21,18,555.0,"Bluebird Backcountry, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-21,5,500.0,"Mount Rainier National Park, Washington, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-20,0,295.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-20,4,699.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-20,3,550.0,"Mount Hood, Oregon, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-20,7,999.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-20,10,575.0,"Grand Teton National Park, Wyoming, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-20,0,580.0,"Silverton, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-20,0,580.0,"Silverton, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-19,10,279.0,"Rocky Mountain National Park, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-19,18,1.0,"Pikes Peak, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-19,3,190.0,"Snoqualmie Pass, Washington, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-18,8,675.0,"Olympic Valley, California, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-18,0,295.0,"Olympic Valley, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 2,2023-03-18,5,595.0,"Grand Teton National Park, Wyoming, United States",2023,3,AIARE 2,aiare 2
AIARE 1,2023-03-18,4,595.0,"Donner Summit, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,12,525.0,"Donner Summit, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-03-18,2,1149.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-03-18,0,595.0,"Snoqualmie Pass, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,6,585.0,"Estes Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,18,595.0,"Mammoth Lakes, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,18,550.0,"Mount Baker National Forest, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 2,2023-03-18,1,600.0,"White Mountains / Mount Washington, New Hampshire, United States",2023,3,AIARE 2,aiare 2
AIARE 1,2023-03-18,0,615.0,"Aspen, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,9,585.0,"Bishop/Mammoth Lakes, California, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-18,0,295.0,"South Lake Tahoe, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-18,4,525.0,"Mt. Washington, New Hampshire, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,7,550.0,"Mt Hood, Oregon, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-18,3,230.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-18,3,595.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-18,6,200.0,"Prival Big Cottonwood Canyon, Utah, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 2,2023-03-18,5,549.0,"American Fork Canyon, Utah, United States",2023,3,AIARE 2,aiare 2
AIARE 1,2023-03-18,3,599.0,"Lassen National Park, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,12,550.0,"Mount Hood, Oregon, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-18,9,699.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-03-18,2,1649.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-03-17,7,225.0,"Grand Teton National Park, Wyoming, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-17,0,295.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-03-17,3,795.0,"Donner Summit, California, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-03-17,11,729.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 2,2023-03-17,12,729.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 2,aiare 2
Avalanche Rescue,2023-03-17,0,250.0,"Crested Butte, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-17,7,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-17,1,195.0,"White Mountains / Mount Washington, New Hampshire, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-17,0,525.0,"Mount Washington Valley, New Hampshire, United States",2023,3,AIARE 1,aiare 1
AIARE 2,2023-03-17,4,595.0,"Mount Washington, New Hampshire, United States",2023,3,AIARE 2,aiare 2
AIARE 1,2023-03-17,14,595.0,"Summit County, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-17,5,550.0,"Mt Washington, New Hampshire, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-17,12,490.0,"Kirkwood Mountain Resort, California, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-17,4,150.0,"American Fork Canyon, Utah, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-17,9,150.0,"Leadville, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-17,3,500.0,"Rabbit Ears, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-16,2,235.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-03-16,2,880.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-03-16,4,10.0,"Mt. Washington, New Hampshire, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-16,0,225.0,"Leadville, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-03-16,4,200.0,"Monarch Pass, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-16,4,550.0,"Crystal Mountain, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-16,4,10.0,"Heavenly Ski Resort, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-16,10,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-15,6,200.0,"Summit County, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-15,0,545.0,"Bishop/Mammoth Lakes, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-14,10,595.0,"Olympic Valley, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-03-14,0,795.0,"Donner Summit, California, United States",2023,3,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-03-14,6,550.0,"Crested Butte, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-14,9,250.0,"Monarch Pass, Colorado, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-14,4,595.0,"Olympic Valley, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-14,6,675.0,"Olympic Valley, California, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-14,5,500.0,"Snoqualmie Pass, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-14,3,600.0,"Mt. Rose, California, United States",2023,3,AIARE 1,aiare 1
Avalanche Rescue,2023-03-13,0,295.0,"Donner Summit, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 2,2023-03-13,0,729.0,"Rocky Mountain National Park, Colorado, United States",2023,3,AIARE 2,aiare 2
Avalanche Rescue,2023-03-13,2,225.0,"Mammoth Lakes, California, California, United States",2023,3,Avalanche Rescue,avalanche rescue
AIARE 1,2023-03-13,15,550.0,"Snoqualmie Pass, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-13,3,550.0,"Mount Hood, Oregon, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-13,5,595.0,"Mount Baker, Washington, United States",2023,3,AIARE 1,aiare 1
AIARE 1,2023-03-13,7,495.0,"Wasatch, Utah, United States",2023,3,AIARE 1,aiare 1
AIARE 2,2023-03-13,6,850.0,"Great Northern Powder Guides, Montana, United States",2023,3,AIARE 2,aiare 2
AIARE 2,2023-03-13,3,900.0,"Mazama, Washington, United States",2023,3,AIARE 2,aiare 2
Avalanche Rescue,2023-03-12,9,279.0,"Rocky Mountain National Park, Colorado, United States",2023,3,Avalanche Rescue,avalanche rescue
