,month,year,course,enrolled
170,2,2023,AIARE 2,292
171,2,2023,AIARE 2 + Avalanche Rescue,13
172,2,2023,Avalanche Rescue,417
173,3,2023,AIARE 1,1360
174,3,2023,AIARE 1 + Avalanche Rescue,23
175,3,2023,AIARE 2,136
176,3,2023,AIARE 2 + Avalanche Rescue,28
177,3,2023,Avalanche Rescue,221
178,4,2023,AIARE 1,351
179,4,2023,AIARE 1 + Avalanche Rescue,24
180,4,2023,AIARE 2,29
181,4,2023,Avalanche Rescue,72
182,5,2023,AIARE 1,18
183,5,2023,Avalanche Rescue,2
184,7,2023,Avalanche Rescue,24
185,8,2023,AIARE 1 + Avalanche Rescue,0
186,8,2023,Avalanche Rescue,32
187,9,2023,AIARE 1,5
188,11,2023,AIARE 1,73
189,11,2023,AIARE 1 + Avalanche Rescue,11
190,11,2023,Avalanche Rescue,16
191,12,2023,AIARE 1,1611
192,12,2023,AIARE 1 + Avalanche Rescue,34
193,12,2023,AIARE 2,46
194,12,2023,AIARE 2 + Avalanche Rescue,11
195,12,2023,Avalanche Rescue,487
196,1,2024,AIARE 1,2878
197,1,2024,AIARE 1 + Avalanche Rescue,138
198,1,2024,AIARE 2,189
199,1,2024,AIARE 2 + Avalanche Rescue,29
200,1,2024,Avalanche Rescue,733
201,2,2024,AIARE 1,1969
202,2,2024,AIARE 1 + Avalanche Rescue,92
203,2,2024,AIARE 2,234
204,2,2024,AIARE 2 + Avalanche Rescue,18
205,2,2024,Avalanche Rescue,442
206,3,2024,AIARE 1,1180
207,3,2024,AIARE 1 + Avalanche Rescue,23
208,3,2024,AIARE 2,107
209,3,2024,AIARE 2 + Avalanche Rescue,36
210,3,2024,Avalanche Rescue,199
211,4,2024,AIARE 1,189
212,4,2024,AIARE 1 + Avalanche Rescue,40
213,4,2024,AIARE 2,28
214,4,2024,AIARE 2 + Avalanche Rescue,6
215,4,2024,Avalanche Rescue,43
216,6,2024,Avalanche Rescue,6
217,7,2024,AIARE 1,6
218,7,2024,Avalanche Rescue,7
219,8,2024,AIARE 1,6
220,8,2024,AIARE 1 + Avalanche Rescue,7
221,8,2024,Avalanche Rescue,6
222,11,2024,AIARE 1,32
223,11,2024,AIARE 1 + Avalanche Rescue,7
224,11,2024,Avalanche Rescue,14
225,12,2024,AIARE 1,1339
226,12,2024,AIARE 1 + Avalanche Rescue,53
227,12,2024,AIARE 2,56
228,12,2024,AIARE 2 + Avalanche Rescue,6
229,12,2024,Avalanche Rescue,453
230,1,2025,AIARE 1,2796
231,1,2025,AIARE 1 + Avalanche Rescue,184
232,1,2025,AIARE 2,223
233,1,2025,AIARE 2 + Avalanche Rescue,34
234,1,2025,Avalanche Rescue,662
235,2,2025,AIARE 1,1716
236,2,2025,AIARE 1 + Avalanche Rescue,144
237,2,2025,AIARE 2,169
238,2,2025,AIARE 2 + Avalanche Rescue,21
239,2,2025,Avalanche Rescue,370
240,3,2025,AIARE 1,976
241,3,2025,AIARE 1 + Avalanche Rescue,17
242,3,2025,AIARE 2,114
243,3,2025,AIARE 2 + Avalanche Rescue,18
244,3,2025,Avalanche Rescue,182
245,4,2025,AIARE 1,117
246,4,2025,AIARE 1 + Avalanche Rescue,30
247,4,2025,AIARE 2,23
248,4,2025,AIARE 2 + Avalanche Rescue,6
249,4,2025,Avalanche Rescue,12
250,5,2025,AIARE 1,11
251,5,2025,Avalanche Rescue,2
252,8,2025,AIARE 1,22
253,8,2025,AIARE 2,3
254,8,2025,Avalanche Rescue,2
255,10,2025,AIARE 1,0
256,11,2025,AIARE 1,0
257,11,2025,AIARE 1 + Avalanche Rescue,0
258,11,2025,Avalanche Rescue,0
259,12,2025,AIARE 1,737
260,12,2025,AIARE 1 + Avalanche Rescue,41
261,12,2025,AIARE 2,22
262,12,2025,AIARE 2 + Avalanche Rescue,0
263,12,2025,Avalanche Rescue,244
264,1,2026,AIARE 1,2555
265,1,2026,AIARE 1 + Avalanche Rescue,198
266,1,2026,AIARE 2,144
267,1,2026,AIARE 2 + Avalanche Rescue,15
268,1,2026,Avalanche Rescue,724
269,2,2026,AIARE 1,1205
270,2,2026,AIARE 1 + Avalanche Rescue,113
271,2,2026,AIARE 2,145
272,2,2026,AIARE 2 + Avalanche Rescue,7
273,2,2026,Avalanche Rescue,278
274,3,2026,AIARE 1,326
275,3,2026,AIARE 1 + Avalanche Rescue,14
276,3,2026,AIARE 2,55
277,3,2026,AIARE 2 + Avalanche Rescue,1
278,3,2026,Avalanche Rescue,78
279,4,2026,AIARE 1,0
280,4,2026,AIARE 1 + Avalanche Rescue,0
281,4,2026,AIARE 2,0
282,4,2026,Avalanche Rescue,0
283,5,2026,AIARE 1,0
