year,month,consumer_sentiment,year_month,unemployment_rate,cpi,gas_price,cpi_yoy_pct,gas_price_z,cpi_yoy_pct_z,unemployment_rate_z,consumer_sentiment_z,economic_pressure_index
2017,1,98.5,2017-01-01,4.7,243.618,2.3489999999999998,,-1.0813862937294412,,0.08431266508258348,1.2689737687100686,
2017,2,96.3,2017-02-01,4.6,244.006,2.3040000000000003,,-1.1584703221051753,,0.028950734395826506,1.1334104207968398,
2017,3,96.9,2017-03-01,4.4,243.892,2.325,,-1.1224977755298324,,-0.08177312697768646,1.1703822429549937,
2017,4,97.0,2017-04-01,4.4,244.193,2.41725,,-0.9644755173595758,,-0.08177312697768646,1.1765442133146855,
2017,5,97.1,2017-05-01,4.4,244.004,2.3914,,-1.008756009215415,,-0.08177312697768646,1.1827061836743773,
2017,6,95.0,2017-06-01,4.3,244.163,2.3465,,-1.0856687397503153,,-0.13713505766444345,1.0533048061208414,
2017,7,93.4,2017-07-01,4.3,244.243,2.2998,,-1.1656648314202447,,-0.13713505766444345,0.9547132803657664,
2017,8,96.8,2017-08-01,4.4,245.183,2.38025,,-1.0278557184685133,,-0.08177312697768646,1.164220272595301,
2017,9,95.1,2017-09-01,4.3,246.435,2.64525,,-0.5739164402558524,,-0.13713505766444345,1.0594667764805332,
2017,10,100.7,2017-10-01,4.2,246.626,2.505,,-0.814161662026893,,-0.19249698835119994,1.4045371166232974,
2017,11,98.5,2017-11-01,4.2,247.284,2.5635,,-0.7139524251384376,,-0.19249698835119994,1.2689737687100686,
2017,12,95.9,2017-12-01,4.1,247.805,2.47675,,-0.8625533020627709,,-0.2478589190379569,1.1087625393580716,
2018,1,95.7,2018-01-01,4.0,248.859,2.5545999999999998,2.151318868063945,-0.7291979329727498,-0.6126909241216665,-0.30322084972471336,1.096438598638687,-2.7415483054578167
2018,2,99.7,2018-02-01,4.1,249.529,2.58725,2.263468931091861,-0.6732691879401327,-0.5610827269486852,-0.2478589190379569,1.3429174130263752,-2.82512824695315
2018,3,101.4,2018-03-01,4.0,249.577,2.59125,2.3309497646499366,-0.666417274306734,-0.5300300099939437,-0.30322084972471336,1.447670909141143,-2.947339043166534
2018,4,98.8,2018-04-01,4.0,250.227,2.757,2.4709963021052994,-0.3824911031227768,-0.46558466664544634,-0.30322084972471336,1.287459679789145,-2.4387562992820815
