course,model_family,mae,rmse,mape,asym_loss,n_preds,params_json,error
aiare 1,prophet,217.1226751062748,461.0321206272504,141.79384630198794,339.57195225586764,132,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",
aiare 1,seasonal_naive,232.71969696969697,444.7852648393175,58.402809497726146,368.6060606060606,132,{},
aiare 1,sarimax,235.30314678700609,442.97247667282227,153.90713514541673,365.6098587689431,132,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 0, 12]}",
aiare 1,sarimax,251.28204079186816,457.7130424941899,147.7846870993126,406.73450463078757,132,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 1, 12]}",
aiare 1,sarimax,256.0033398517251,465.1504461935202,216.60516403327836,413.820561462919,132,"{""order"": [1, 0, 1], ""seasonal_order"": [0, 1, 1, 12]}",
aiare 1,random_forest,265.50502157262554,551.3636181389776,58.54392202094473,373.76529800813813,132,"{""n_estimators"": 500, ""max_depth"": 8, ""min_samples_leaf"": 3, ""use_log"": true}",
aiare 1,random_forest,267.6464390520929,558.5924189955396,58.78236881641597,376.4469951065634,132,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 3, ""use_log"": true}",
aiare 1,random_forest,268.9116921697984,560.5679784433969,59.30308195216008,379.9610216742779,132,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 3, ""use_log"": true}",
aiare 1,random_forest,272.7775777003005,568.4921302617787,59.556321249789846,385.9778960808419,132,"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 3, ""use_log"": true}",
aiare 1,sarimax,295.6775560927903,507.83758130578406,481.28599315945564,476.96441442181293,132,"{""order"": [1, 1, 1], ""seasonal_order"": [0, 1, 1, 12]}",
aiare 1,sarimax,313.30116958015543,545.6424788659765,533.2864463177546,501.2752117476362,132,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12]}",
aiare 1,sarimax,320.0961318941745,542.8599603628694,594.0497938312479,539.2380134152767,132,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 0, 12]}",
aiare 1,sarimax,323.08472997950736,552.2985998810717,564.6080467602138,528.7367187216441,132,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12]}",
aiare 1,sarimax,329.61567459020574,565.2529714834342,617.6117321486144,551.3479663743732,132,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 0, 12]}",
aiare 1,random_forest,330.4115794948173,704.6790205833671,68.05283389045655,440.73311064068395,132,"{""n_estimators"": 200, ""max_depth"": 8, ""min_samples_leaf"": 6, ""use_log"": true}",
aiare 1,random_forest,330.43809479740116,704.7129498693456,68.05634302085532,440.7775259124922,132,"{""n_estimators"": 200, ""max_depth"": 4, ""min_samples_leaf"": 6, ""use_log"": true}",
aiare 1,sarimax,330.67089227479016,574.3558956181727,589.9720352653619,546.3600123149656,132,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12]}",
aiare 1,random_forest,331.66486582367514,701.065651694541,67.88254864145154,440.3641678847791,132,"{""n_estimators"": 500, ""max_depth"": 8, ""min_samples_leaf"": 6, ""use_log"": true}",
aiare 1,random_forest,331.735825501612,701.1767672590773,67.89606548593439,440.50266072836376,132,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 6, ""use_log"": true}",
aiare 1,elasticnet,333.49849103228297,674.4491483814892,60.892397320546344,436.6560513332352,132,"{""alpha"": 0.01, ""l1_ratio"": 0.5, ""use_log"": true}",
aiare 1,elasticnet,344.286385945005,670.8424172126906,61.53776730561754,429.6793067690385,132,"{""alpha"": 0.01, ""l1_ratio"": 0.9, ""use_log"": true}",
aiare 1,ridge,351.3792688497711,685.4275070828795,59.78874453725733,475.71977531207784,132,"{""alpha"": 1.0, ""use_log"": true}",
aiare 1,hist_gradient_boosting,355.55666656924024,809.780474393599,66.89642255687617,435.26263112112485,132,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 1,ridge,357.729047219788,709.2794116947525,57.87814233623575,404.6597023076216,132,"{""alpha"": 10.0, ""use_log"": true}",
aiare 1,hist_gradient_boosting,358.88133340036666,810.5295511741652,66.08912373111511,443.3868778559564,132,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 1,elasticnet,367.50278101490875,740.0421512587429,63.04134543692362,392.79634498897144,132,"{""alpha"": 0.1, ""l1_ratio"": 0.5, ""use_log"": true}",
aiare 1,elasticnet,369.2732678759417,745.417822912033,71.84644739551776,397.6614383001329,132,"{""alpha"": 0.1, ""l1_ratio"": 0.9, ""use_log"": true}",
aiare 1,hist_gradient_boosting,381.12741978869224,843.8976383908641,60.79633271717266,448.95138963434295,132,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 1,hist_gradient_boosting,384.2743715977204,907.4142932643937,70.7261504443181,446.87050966275785,132,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 1,catboost,384.70600768702747,917.6001978210567,58.97251358505535,430.47437147003063,132,"{""depth"": 4, ""learning_rate"": 0.1, ""use_log"": true}",
aiare 1,hist_gradient_boosting,385.7678790220589,857.3637517461627,61.48337692084871,447.3669486094422,132,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 1,hist_gradient_boosting,403.3950463895951,954.3297576882586,74.71811690428385,475.1190756642618,132,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 1,xgboost,406.73743419515705,878.4418020820455,86.1439835096346,452.64699245645016,132,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 3, ""use_log"": true}",
aiare 1,catboost,407.7343028330505,940.5559834089873,56.95650915569887,449.11500862222704,132,"{""depth"": 4, ""learning_rate"": 0.05, ""use_log"": true}",
aiare 1,hist_gradient_boosting,411.89371233943524,980.0404882691656,71.81476202801211,482.31502741950254,132,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 1,hist_gradient_boosting,412.9782678874459,966.628157475577,72.83310984542251,481.29040970920784,132,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 1,xgboost,415.25795599240496,878.5576513833021,103.05866513039234,459.1063246268265,132,"{""n_estimators"": 500, ""learning_rate"": 0.1, ""max_depth"": 5, ""use_log"": true}",
aiare 1,xgboost,419.15442798370987,885.1074452482122,82.16423107805475,465.7653977422707,132,"{""n_estimators"": 500, ""learning_rate"": 0.1, ""max_depth"": 3, ""use_log"": true}",
aiare 1,xgboost,426.26344851539807,896.0357183958547,97.17408513284809,468.93762898580417,132,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 5, ""use_log"": true}",
aiare 1,xgboost,428.28854702059203,900.3645713499608,102.01337229061784,469.2777755848956,132,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 5, ""use_log"": true}",
aiare 1,xgboost,430.99158370263325,923.9567044530602,81.11075805071988,468.0674855120912,132,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3, ""use_log"": true}",
aiare 1,xgboost,433.44241516126294,914.0144384572125,80.06969568436519,472.07793388522765,132,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 3, ""use_log"": true}",
aiare 1,xgboost,448.7600980521893,941.8421642917709,93.89992770029629,487.81143416307566,132,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 5, ""use_log"": true}",
aiare 1,catboost,452.179142357266,989.0739257757364,64.45035532746324,482.20478987355887,132,"{""depth"": 6, ""learning_rate"": 0.1, ""use_log"": true}",
aiare 1,catboost,464.9416235625913,1028.6157844064278,59.79444273872312,484.1721815596588,132,"{""depth"": 6, ""learning_rate"": 0.05, ""use_log"": true}",
aiare 1,elasticnet,570.2918045762084,1090.898065647535,77.74154654980234,579.3130224031764,132,"{""alpha"": 1.0, ""l1_ratio"": 0.5, ""use_log"": true}",
aiare 1,elasticnet,633.9793694223615,1193.432034343937,91.96855757917037,643.2710723445216,132,"{""alpha"": 1.0, ""l1_ratio"": 0.9, ""use_log"": true}",
aiare 1,ridge,721.3842419341805,1493.5827789709733,117.67643004240429,1255.767940374917,132,"{""alpha"": 0.1, ""use_log"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""add"", ""seasonal"": ""add"", ""damped_trend"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""add"", ""seasonal"": ""add"", ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""add"", ""seasonal"": ""mul"", ""damped_trend"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""add"", ""seasonal"": ""mul"", ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""add"", ""seasonal"": null, ""damped_trend"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""add"", ""seasonal"": null, ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""mul"", ""seasonal"": ""add"", ""damped_trend"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""mul"", ""seasonal"": ""add"", ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""mul"", ""seasonal"": ""mul"", ""damped_trend"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""mul"", ""seasonal"": ""mul"", ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""mul"", ""seasonal"": null, ""damped_trend"": true}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": ""mul"", ""seasonal"": null, ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": null, ""seasonal"": ""add"", ""damped_trend"": false}",
aiare 1,ets,1055.7079537738707,1290.3219104080868,2648.4011685415967,1567.3688793779804,132,"{""trend"": null, ""seasonal"": ""mul"", ""damped_trend"": false}",
