iter	Quantile:alpha=0.333
0	0.8545025575
1	0.7890861338
2	0.7132924092
3	0.6523196303
4	0.6003765159
5	0.55660115
6	0.5127671882
7	0.4757058475
8	0.4448059736
9	0.419638756
10	0.3918354574
11	0.3634617373
12	0.3392010926
13	0.3213097931
14	0.2958515962
15	0.2765047816
16	0.258751282
17	0.2431312938
18	0.2291209629
19	0.214499732
20	0.2065842821
21	0.1951560337
22	0.1867775378
23	0.175902062
24	0.1657903663
25	0.1552323962
26	0.1494431881
27	0.1422125078
28	0.137269627
29	0.1321748896
30	0.1265352925
31	0.1219810685
32	0.1180461012
33	0.1140358503
34	0.110801003
35	0.1074967631
36	0.103020079
37	0.1007355014
38	0.09818100401
39	0.09568817768
40	0.09272928394
41	0.09171741849
42	0.09051959112
43	0.0889584104
44	0.08664745499
45	0.08524627451
46	0.08410749921
47	0.0820416764
48	0.07812068842
49	0.07569157839
50	0.07446568924
51	0.07161811985
52	0.06955668681
53	0.06724361523
54	0.06570691242
55	0.06350265226
56	0.06097605945
57	0.0597220894
58	0.05885229839
59	0.05605651338
60	0.0540079516
61	0.05253476231
62	0.05156371648
63	0.05050714961
64	0.04943418709
65	0.04740072424
66	0.04667368211
67	0.04551563503
68	0.04464201672
69	0.04349566845
70	0.04294847774
71	0.0413412101
72	0.04021657219
73	0.03940230178
74	0.03746399034
75	0.0364623823
76	0.03590168258
77	0.03536589293
78	0.03485566642
79	0.03445247443
80	0.0339983408
81	0.03333492219
82	0.03236021848
83	0.03163421242
84	0.03116912422
85	0.03072117909
86	0.03043352568
87	0.03022392534
88	0.02995507827
89	0.02962220446
90	0.02948420047
91	0.02922209038
92	0.02860385659
93	0.02818840347
94	0.02772097163
95	0.02696296459
96	0.02647744213
97	0.02599376199
98	0.02568115134
99	0.02545871952
100	0.0251844284
101	0.0249991033
102	0.02457998795
103	0.02422702279
104	0.02363835161
105	0.02280367364
106	0.02254212132
107	0.02217713053
108	0.02166732798
109	0.02154859327
110	0.0214306488
111	0.02126592209
112	0.02106283227
113	0.02088103783
114	0.02064377876
115	0.02043260742
116	0.020360722
117	0.02005820641
118	0.01979477291
119	0.01945116734
120	0.01927749384
121	0.01909012183
122	0.01901568732
123	0.01876312838
124	0.01822969743
125	0.01809289558
126	0.01808108205
127	0.01806592162
128	0.01804727374
129	0.01794849087
130	0.01789247737
131	0.01786924358
132	0.01784195809
133	0.01767658967
134	0.01762517761
135	0.01745277809
136	0.01730680679
137	0.01717543262
138	0.01705719587
139	0.01695078279
140	0.01685860091
141	0.01681325744
142	0.01660583514
143	0.01645993654
144	0.01637670225
145	0.01621990519
146	0.01615674853
147	0.01613142682
148	0.01597372671
149	0.01582927823
150	0.01568528872
