iter	Quantile:alpha=0.333
151	0.01557181091
152	0.01546968088
153	0.01537776865
154	0.01531670472
155	0.01502494952
156	0.01487607725
157	0.01473305675
158	0.01462412201
159	0.01458478233
160	0.01453419196
161	0.01448524269
162	0.01438262681
163	0.0143716398
164	0.01433602974
165	0.01425603039
166	0.01374391183
167	0.01372090131
168	0.01354831959
169	0.01350855905
170	0.01347413909
171	0.01344144266
172	0.01319549971
173	0.01292184083
174	0.01273238656
175	0.01269455095
176	0.01239079162
177	0.01229401826
178	0.0122545724
179	0.01221529552
180	0.01155368876
181	0.01095824266
182	0.01042265628
183	0.0103541003
184	0.0102402275
185	0.01021808301
186	0.01018564865
187	0.01015627003
188	0.01009353991
189	0.01003440473
190	0.01000361268
191	0.009960364576
192	0.009920435725
193	0.009904534737
194	0.009782044051
195	0.009731946055
196	0.009481090129
197	0.009453766181
198	0.009390123642
199	0.009373119399
200	0.009332263051
201	0.009228519501
202	0.009199009344
203	0.009186951579
204	0.009175689195
205	0.009065487772
206	0.008944009921
207	0.008865544733
208	0.008848798598
209	0.008562214197
210	0.008417302047
211	0.008414178827
212	0.008398518455
213	0.008346464006
214	0.008218784585
215	0.008210837509
216	0.008187894488
217	0.008141241701
218	0.008029257699
219	0.008016137012
220	0.007996328656
221	0.007983258873
222	0.007955418411
223	0.007939567862
224	0.007934486047
225	0.007927439262
226	0.007889299698
227	0.007814459251
228	0.007797536899
229	0.007762577197
230	0.00773512447
231	0.007657810331
232	0.007641889418
233	0.007596217061
234	0.007569127719
235	0.007563426418
236	0.007517105895
237	0.00742960636
238	0.00740344936
239	0.007386818067
240	0.007371849904
241	0.0073588149
242	0.007357372168
243	0.007349008872
244	0.007339889933
245	0.007337403503
246	0.007300431385
247	0.007297860415
248	0.007282524231
249	0.007277400951
250	0.007220556078
251	0.007202381443
252	0.007186032823
253	0.007182513992
254	0.007174496962
255	0.007163834672
256	0.007161479033
257	0.007159996491
258	0.007054963032
259	0.006997180011
260	0.006953157858
261	0.006952258713
262	0.006945285221
263	0.006941286458
264	0.00694012142
265	0.006879197856
266	0.006662817533
267	0.006649645387
268	0.006606113437
269	0.006594671661
270	0.006589653858
271	0.006583969088
272	0.006456539726
273	0.006236447009
274	0.006230023521
275	0.006196960973
276	0.006089681142
277	0.006050753161
278	0.005844572063
279	0.005840006387
280	0.005648266925
281	0.005553074294
282	0.005542653145
283	0.005533308025
284	0.005416649962
285	0.005408055647
286	0.005400938084
287	0.005398420936
288	0.005395517756
289	0.005392499462
290	0.005391441483
291	0.005390203026
292	0.005384716107
293	0.005377277895
294	0.005374289681
295	0.0053687486
296	0.005364920827
297	0.005361483481
298	0.005352889969
299	0.005342635216
300	0.005235635863
301	0.005203577133
302	0.005167474316
303	0.005162395849
304	0.005126994511
305	0.005126406588
306	0.005115792814
307	0.005069911874
308	0.005063091632
309	0.005057659443
310	0.005047974441
311	0.005011238871
312	0.005000693718
313	0.004999179354
314	0.004980888987
315	0.00497914784
316	0.00497426649
317	0.004855376687
318	0.004854703791
319	0.004840355594
320	0.004829890456
321	0.004788171848
322	0.004764234623
323	0.00476067648
324	0.004752004531
325	0.00469059547
326	0.004625215172
327	0.004607245392
328	0.00460057854
329	0.004597130476
330	0.004531762019
331	0.004525595344
332	0.004523605337
333	0.004490304186
334	0.004488124825
335	0.004397671627
336	0.004395245749
337	0.00432175466
338	0.004317459466
339	0.004289706054
340	0.004286865767
341	0.004248832443
342	0.004245744141
343	0.004242550199
344	0.004229987088
345	0.004223012098
346	0.004210324666
347	0.004203826377
348	0.004200394143
349	0.004195204279
350	0.004125365725
351	0.004124384329
352	0.004071252899
353	0.004069163431
354	0.004066130217
355	0.004041938883
356	0.004028213371
357	0.004026128326
358	0.00402122567
359	0.003995476232
360	0.003991073636
361	0.003987280081
362	0.003954931614
363	0.003932043552
364	0.003911525093
365	0.003876924647
366	0.00387470604
367	0.003872548104
368	0.003869941073
369	0.003859127644
370	0.003858140132
371	0.003853638106
372	0.003851553463
373	0.00384957081
374	0.003846693392
375	0.003840309117
376	0.0038328843
377	0.00383050302
378	0.003820036659
379	0.003819532268
380	0.003817932706
381	0.003817461524
382	0.003816153587
383	0.003721872044
384	0.003675830452
385	0.00367438775
386	0.003617131143
387	0.003613982744
388	0.003593504021
389	0.003578267818
390	0.003574134066
391	0.003560603345
392	0.003560122259
393	0.003559369663
394	0.003554375963
395	0.003553411876
396	0.003551813294
397	0.003532666251
398	0.003527973535
399	0.003520791104
