course,model_family,mae,rmse,mape,asym_loss,n_preds,params_json,error
aiare 2,xgboost,33.35564795651044,79.00516944425429,62.54664232827222,38.22281276222081,126,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 5, ""use_log"": true}",
aiare 2,elasticnet,51.539589687017035,100.16383102250778,68.10168460513107,52.808568949320495,126,"{""alpha"": 1.0, ""l1_ratio"": 0.5, ""use_log"": true}",
aiare 2,elasticnet,57.33047381406588,109.44195164256921,76.19795122796977,59.03348160943316,126,"{""alpha"": 1.0, ""l1_ratio"": 0.9, ""use_log"": true}",
aiare 2,hist_gradient_boosting,68.27159281574424,129.00314634795205,97.18210218214648,68.27427501937942,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 2,hist_gradient_boosting,68.27159281574424,129.00314634795205,97.18210218214648,68.27427501937942,126,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 2,hist_gradient_boosting,68.30880014470718,129.01297751250527,97.24053622134794,68.31052224866015,126,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 2,hist_gradient_boosting,68.30880014470718,129.01297751250527,97.24053622134794,68.31052224866015,126,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 10, ""use_log"": true}",
aiare 2,hist_gradient_boosting,73.32877109156037,131.31493544698623,99.54067942622844,78.69015397433468,126,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 2,hist_gradient_boosting,73.35091359993925,131.3224168499249,99.55043358850364,78.71234364080031,126,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 2,hist_gradient_boosting,73.36867521827482,131.32304022172838,99.72989317215088,78.7303988103948,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 2,hist_gradient_boosting,73.38791691639678,131.32670960853056,99.83320395302383,78.74949336163746,126,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 5, ""use_log"": true}",
aiare 2,ridge,119.02339169283574,540.7462117811652,173.54639064974114,219.31765628134633,126,"{""alpha"": 0.1, ""use_log"": true}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""add"", ""seasonal"": ""add"", ""damped_trend"": true}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""add"", ""seasonal"": ""add"", ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""add"", ""seasonal"": ""mul"", ""damped_trend"": true}",
