course,model_name,rmse_mean,mae_mean,mape_mean
aiare 1,lasso_alpha=1.0,8.039640185697552,6.092384851724361,3.4162172144892042
aiare 1,lasso_alpha=0.5,8.416829779416805,6.49572688865628,4.502322612449493
aiare 1,lasso_alpha=0.1,8.662706130873048,6.830049823280271,5.694532049895412
aiare 1,lasso_alpha=0.05,8.962663752798546,7.1348759316905985,8.215091566837392
aiare 1,lasso_alpha=0.01,9.090124277886288,7.379115975079857,12.82763129949026
aiare 1,lasso_alpha=0.001,9.453398180766099,7.8499526547863345,15.09750935320066
aiare 1,huber_epsilon=1.5_alpha=0.001,12.658720253778014,11.803499119160808,40.37620137410255
aiare 1,huber_epsilon=1.5_alpha=0.0001,12.888521427968294,11.369884078801434,35.90673283856266
aiare 1,huber_epsilon=1.35_alpha=0.001,13.589254817661478,11.951433030863114,27.335305110382446
aiare 1,huber_epsilon=2.0_alpha=0.0001,13.80352341077536,12.503371898593285,50.70829024347819
aiare 1,huber_epsilon=2.0_alpha=0.001,15.365832418044887,14.321931410681334,38.70883356044079
aiare 1,huber_epsilon=1.35_alpha=0.0001,16.286690201354165,14.313039184883298,38.264494618227296
aiare 1,ridge_alpha=0.01,16.56940509072091,15.37555069515493,30.70341431143275
aiare 1,elasticnet_alpha=0.01_l1_ratio=0.9,24.711614812694272,23.288844949230008,34.758426170310415
aiare 1,huber_epsilon=1.1_alpha=0.0001,25.8605778674798,23.694843500330993,36.63171900936998
aiare 1,huber_epsilon=1.1_alpha=0.001,28.22299291585662,25.903370599126383,37.427211529161774
aiare 1,elasticnet_alpha=0.01_l1_ratio=0.7,41.54563905759598,38.562804426827306,36.60391584061706
aiare 1,ridge_alpha=0.1,42.94814989710664,39.969877481002236,41.49459401255014
aiare 1,elasticnet_alpha=0.05_l1_ratio=0.9,52.61238298976967,46.751132359688356,52.758096407016914
aiare 1,elasticnet_alpha=0.01_l1_ratio=0.5,54.57028541406736,48.62195201944363,47.35883542782675
aiare 1,elasticnet_alpha=0.01_l1_ratio=0.3,67.94726137646786,60.533577012704924,85.23210081056348
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=6_subsample=0.8,72.46034582731642,60.101761823978144,21.29792811348779
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=6_subsample=0.8,72.4603815812656,60.10181548381736,21.297901384736413
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=6_subsample=0.8,72.47444511709604,60.1110299199197,21.321739878326614
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=3_subsample=0.8,72.79062801287564,64.44864394976642,80.17268592130804
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=3_subsample=0.8,72.83580691981,64.50420665707928,79.77209878611386
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=3_subsample=0.8,75.3838656003383,66.58400679027993,102.79198348751136
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=4_subsample=0.8,76.21073851101364,62.12170575726599,95.55869773449115
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=4_subsample=0.8,76.21102471071436,62.122080627805495,95.55911483071529
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=4_subsample=0.8,76.23174932087454,62.14380209066655,95.68200182892124
aiare 1,extra_trees_n_estimators=200_max_depth=None_min_samples_leaf=1,77.54837476400867,68.10476190476189,35.56470579086791
aiare 1,extra_trees_n_estimators=200_max_depth=20_min_samples_leaf=1,77.54837476400867,68.10476190476189,35.56470579086791
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=4_subsample=0.8,77.64352889816125,65.82914224910449,85.88673155777283
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=4_subsample=0.8,77.64352910950718,65.82914245135824,85.88673158759129
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=4_subsample=0.8,77.64364239566048,65.82907020593147,85.88563155496549
aiare 1,extra_trees_n_estimators=200_max_depth=10_min_samples_leaf=1,78.36801494247433,68.30559523809524,35.67488088636614
aiare 1,extra_trees_n_estimators=300_max_depth=10_min_samples_leaf=1,78.37060037622958,68.4396031746032,38.893118453605204
aiare 1,extra_trees_n_estimators=100_max_depth=None_min_samples_leaf=1,78.5996503402174,68.57619047619052,38.17383920887985
aiare 1,extra_trees_n_estimators=100_max_depth=20_min_samples_leaf=1,78.5996503402174,68.57619047619052,38.17383920887985
aiare 1,extra_trees_n_estimators=300_max_depth=None_min_samples_leaf=1,79.11763532566974,68.81333333333336,38.90804072865069
aiare 1,extra_trees_n_estimators=300_max_depth=20_min_samples_leaf=1,79.11763532566974,68.81333333333336,38.90804072865069
aiare 1,elasticnet_alpha=0.01_l1_ratio=0.1,80.36496977315736,71.88457110721568,129.9147794766016
aiare 1,extra_trees_n_estimators=300_max_depth=5_min_samples_leaf=1,82.57061762691667,72.32662192650966,50.37949589588902
aiare 1,extra_trees_n_estimators=100_max_depth=10_min_samples_leaf=1,83.33452771727688,72.4697619047619,38.43593936931023
aiare 1,elasticnet_alpha=0.1_l1_ratio=0.9,84.6458416532431,76.75687772823942,178.17860083502748
aiare 1,extra_trees_n_estimators=200_max_depth=5_min_samples_leaf=1,86.038346688288,74.76313668911631,51.877029763877694
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=3_subsample=0.8,87.10891508300368,73.27964631967981,58.63627706548671
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=3_subsample=0.8,87.11382244698953,73.28064536225574,58.63592170942837
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=3_subsample=0.8,87.14969997543335,73.28609974592915,58.80763250975452
aiare 1,extra_trees_n_estimators=100_max_depth=5_min_samples_leaf=1,87.46212772699091,78.54188114134548,65.09348199243814
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=5_subsample=0.8,89.34491743772217,69.95650729790111,91.44582442122872
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=5_subsample=0.8,89.34591613829294,69.9423849629221,91.23430363198909
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=5_subsample=0.8,89.8516008896456,71.6095652207584,111.45854991932232
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=4_subsample=0.8,90.76766432121279,73.18499432148602,50.235286778352226
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=4_subsample=0.8,90.79649250067426,73.22358492800268,50.62656087798665
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=3_subsample=1.0,91.70937653894543,71.94800454021667,13.539088312210438
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=3_subsample=1.0,91.70962625383254,71.94845400629998,13.536384320610054
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=3_subsample=1.0,91.70962814195143,71.94845592261996,13.536378267374857
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=4_subsample=0.8,92.76762059235152,75.148101726407,72.67926904397483
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=3_subsample=1.0,94.95007401106355,72.68305985536904,15.79786246504408
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=3_subsample=1.0,94.96784782965338,72.69101973870518,15.820336222301409
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=6_subsample=0.8,96.2424038949129,82.5570497175739,70.58568147123101
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=6_subsample=0.8,96.27504532466828,82.57980376747744,70.61336537781513
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=6_subsample=0.8,96.68006398449957,82.60648112975971,82.12976674347362
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=3_subsample=1.0,97.69970683483578,76.02281417113684,35.46476424514501
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=3_subsample=0.8,100.21195937631423,87.85390183099938,33.08546412165236
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=3_subsample=0.8,100.21597372519886,87.85876309977525,33.08636541257985
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=3_subsample=0.8,100.21598318459961,87.85876091361158,33.086342412895625
aiare 1,hgb_max_iter=400_learning_rate=0.1_max_depth=3_min_samples_leaf=5,102.74461799032562,84.05875933227699,46.52979661829261
aiare 1,hgb_max_iter=100_learning_rate=0.1_max_depth=3_min_samples_leaf=5,104.117384830025,84.96837221017759,120.64046413751389
aiare 1,gbr_n_estimators=300_learning_rate=0.01_max_depth=3_subsample=0.8,104.14155500577883,93.62898612707556,257.36917717021396
aiare 1,hgb_max_iter=200_learning_rate=0.1_max_depth=3_min_samples_leaf=5,104.46279787721676,84.27724940092483,92.79071143222437
