combined_course,year,forecast_students
aiare 1,2026,855.9981621790331
aiare 1,2027,1508.4612266441532
aiare 2,2026,185.62851120226068
aiare 2,2027,98.72693086768594
avalanche rescue,2026,295.77896326335065
avalanche rescue,2027,255.0833680231468
