course,best_model_name,best_rmse,best_mae,best_mape
aiare 1,elasticnet_alpha=0.01_l1_ratio=0.9,24.711614812694272,23.288844949230008,34.758426170310415
aiare 2,elasticnet_alpha=0.01_l1_ratio=0.9,6.993025595810727,6.391137834631164,42.76743900829866
avalanche rescue,elasticnet_alpha=0.01_l1_ratio=0.9,8.09273992393424,7.248932351066789,59.28756726752359
